Kreise_Code,year,EU_Code,gdppc,ln_gdppc,ln_gdppc.d1,tas,tas2,prec,prec2,full05_colddays_f1,full95_hotdays_f1,full05_colddays_f2,full95_hotdays_f2,sq95_hotdays_f1,sq05_colddays_f1,sq95_hotdays_f2,sq05_colddays_f2,full95_wetweeks_f1,full05_dryweeks_f1,full00_dryweeks_f1,sq95_wetweeks_f1,sq05_dryweeks_f1,full95_wetweeks_f2,full05_dryweeks_f2,sq95_wetweeks_f2,sq05_dryweeks_f2,full_mean_precpd,full_std_precpd,sq_mean_precpd,sq_std_precpd
1001,2013.0,DEF01,43278.0,10.675399701731727,-0.017113231632679415,8.612311878512456,74.17191589276675,9.114214471352042,83.06890542980298,15.0,28.0,26.0,17.0,26.0,19.0,15.0,23.0,4.0,5.0,4.0,6.0,20.0,4.0,6.0,3.0,6.0,4.050761987267576,5.365317127703233,4.019254810321348,0.8429570961584179
1001,2014.0,DEF01,42521.0,10.657753350523642,-0.017646351208085775,10.372517342390912,107.58911601820024,10.68060104469153,114.0752386758658,7.0,40.0,8.0,30.0,68.0,2.0,40.0,5.0,6.0,1.0,0.0,7.0,4.0,6.0,1.0,6.0,1.0,4.899358277381438,7.31097398562111,4.846003843984752,1.1844236071494527
1001,2015.0,DEF01,43729.0,10.685766776548883,0.028013426025241372,9.542035928726223,91.05044966510212,11.267344248240011,126.9530464083473,4.0,21.0,6.0,11.0,22.0,1.0,9.0,5.0,5.0,3.0,3.0,5.0,12.0,4.0,3.0,4.0,3.0,4.941817652736848,5.784415308006543,4.8639109675177865,1.362857128436844
1001,2016.0,DEF01,43622.0,10.683316889231797,-0.0024498873170859525,9.491921810775215,90.09657966187024,9.05606599266511,82.0123312635055,5.0,37.0,9.0,23.0,39.0,3.0,19.0,6.0,4.0,1.0,1.0,6.0,4.0,3.0,1.0,3.0,1.0,3.903476720976341,5.509062908270864,3.9089777732036506,0.3853518911081522
1001,2017.0,DEF01,44927.0,10.712794229303016,0.02947734007121916,9.402995505734395,88.41632448086123,11.066189200191229,122.46054341442898,2.0,12.0,4.0,6.0,32.0,2.0,22.0,7.0,7.0,4.0,0.0,7.0,16.0,5.0,4.0,5.0,4.0,4.480238542587539,5.85090087290151,4.465250440633694,0.7197073147715828
1001,2018.0,DEF01,44370.0,10.700318844372955,-0.012475384930061395,9.951973361086123,99.04177377976784,7.254045681626584,52.62117875112529,10.0,55.0,13.0,37.0,50.0,4.0,31.0,10.0,1.0,6.0,4.0,2.0,24.0,1.0,6.0,0.0,6.0,3.6822566911810073,4.542543236458993,3.716048113403943,0.41262149558213074
1001,2019.0,DEF01,45508.0,10.725643413659608,0.02532456928665283,9.920394878331225,98.4142345420204,9.755263674721467,95.16516936334018,3.0,32.0,3.0,22.0,49.0,2.0,27.0,8.0,6.0,3.0,2.0,7.0,12.0,4.0,3.0,5.0,3.0,4.186808444086467,5.757687024854423,4.113911193827368,0.8774274232327248
1002,1990.0,DEF02,39285.0,10.578598045609922,,9.804243385587712,96.1231883638404,9.95018338747867,99.00614944445653,0.0,20.0,0.0,18.0,51.0,11.0,47.0,11.0,5.0,3.0,2.0,5.0,12.0,5.0,3.0,5.0,2.0,3.9020327009720255,5.235914528789047,3.893649076032484,0.5486291771916795
1002,1991.0,DEF02,42188.0,10.649891099396505,0.07129305378658302,8.566169725022325,73.37926375788906,7.965756909988511,63.45328314902971,16.0,22.0,16.0,22.0,32.0,12.0,29.0,9.0,5.0,2.0,0.0,5.0,8.0,5.0,2.0,5.0,4.0,3.509144013210798,5.126938539337535,3.4930567937784427,0.6845857756215423
1002,1992.0,DEF02,43038.0,10.66983872535449,0.019947625957984272,9.544410680061333,91.09577522966885,7.0381399521744825,49.53541398639463,5.0,36.0,5.0,34.0,31.0,4.0,27.0,2.0,1.0,9.0,4.0,1.0,36.0,1.0,9.0,1.0,8.0,3.1280622009664354,4.268652850997718,3.1049400305200834,0.7899081733629733
1002,1993.0,DEF02,41915.0,10.643399037071958,-0.026439688282531293,8.213973072351992,67.46935363332362,8.660771664259753,75.00896582044466,17.0,5.0,15.0,5.0,19.0,21.0,17.0,21.0,5.0,6.0,2.0,4.0,24.0,5.0,6.0,4.0,6.0,3.6389796908654426,4.801993907436674,3.516434821931303,0.6250745537380142
1002,1994.0,DEF02,42283.0,10.652140393001481,0.008741355929522854,9.378904264917246,87.9638452104829,9.451344147219457,89.32790618917949,13.0,33.0,13.0,32.0,33.0,5.0,30.0,6.0,4.0,2.0,1.0,5.0,8.0,4.0,2.0,3.0,3.0,3.938060061341443,4.962874825312373,3.9729103458383914,0.9666526852815677
1002,1995.0,DEF02,43074.0,10.670674845804538,0.01853445280305621,8.881642751465527,78.88357796466015,7.00707600588727,49.099114152281096,21.0,37.0,21.0,37.0,49.0,25.0,43.0,22.0,3.0,8.0,5.0,5.0,32.0,2.0,8.0,3.0,9.0,3.274334582190311,4.340226872878875,3.218790913876448,1.0058377182639537
1002,1996.0,DEF02,43309.0,10.676115744586301,0.005440898781763792,7.193031166644712,51.73969736432218,5.542451092041814,30.718764107675497,46.0,21.0,44.0,20.0,17.0,29.0,17.0,24.0,1.0,8.0,4.0,1.0,32.0,1.0,8.0,1.0,9.0,2.827781169409089,3.988251828537204,2.6623440402526763,0.9073843897543897
1002,1997.0,DEF02,43670.0,10.684416646479606,0.008300901893305124,8.947809368376605,80.06329249280815,7.4580230646495265,55.62210803284432,17.0,44.0,17.0,42.0,45.0,21.0,40.0,19.0,3.0,8.0,2.0,4.0,32.0,3.0,9.0,3.0,9.0,3.329474582432824,5.505213067849535,3.426214555239091,1.1093224111214102
1002,1998.0,DEF02,43534.0,10.681297520974782,-0.003119125504824183,8.942334095596001,79.96533907725875,10.375398655243083,107.64889725521998,11.0,12.0,11.0,12.0,32.0,13.0,27.0,14.0,6.0,1.0,1.0,6.0,4.0,6.0,1.0,6.0,1.0,4.0059454267347805,5.189280338466747,3.999726154362694,0.6547141256034957
1002,1999.0,DEF02,44693.0,10.707572168786097,0.026274647811314722,9.556851851331924,91.33341730830642,8.50268204087716,72.29560188825498,7.0,35.0,9.0,32.0,28.0,3.0,18.0,3.0,4.0,4.0,4.0,5.0,16.0,4.0,4.0,4.0,4.0,3.442381393067674,4.140767095461294,3.482359393660328,0.535421514432979
1002,2000.0,DEF02,45696.0,10.729766045699256,0.02219387691315866,9.776909884109322,95.58796688199456,6.583686594410359,43.34492917341868,3.0,11.0,4.0,8.0,25.0,4.0,15.0,4.0,0.0,3.0,1.0,1.0,12.0,0.0,3.0,0.0,3.0,2.6125740454009367,3.068824224992033,2.606455396046622,0.4130475771428068
1002,2001.0,DEF02,46364.0,10.744278575008636,0.014512529309380184,8.841918901268105,78.17952985660217,8.512432823410661,72.4615125730792,15.0,27.0,15.0,21.0,34.0,13.0,30.0,14.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.188177087419724,4.258349831963105,3.184068509826273,1.036904814357467
1002,2002.0,DEF02,43794.0,10.687252100679688,-0.05702647432894814,9.696566315730731,94.02339831536388,10.328519186723684,106.6783085905193,8.0,50.0,8.0,46.0,48.0,10.0,35.0,8.0,6.0,4.0,4.0,8.0,16.0,6.0,4.0,7.0,4.0,4.395114547541994,6.822022139003819,4.447136726590856,1.232896114977707
1002,2003.0,DEF02,45159.0,10.717944874528614,0.030692773848926436,9.479428575497424,89.8595661179571,5.808430508249183,33.73786496915986,17.0,44.0,17.0,40.0,37.0,13.0,25.0,12.0,2.0,8.0,6.0,3.0,32.0,2.0,8.0,2.0,8.0,2.9634849531883574,3.9342989254906495,2.9197363827354463,0.8379348643536769
1002,2004.0,DEF02,44567.0,10.704748953825517,-0.013195920703097386,9.27184250716231,85.96706347762186,7.881980049122921,62.125609494771766,5.0,22.0,7.0,20.0,31.0,1.0,24.0,1.0,3.0,2.0,2.0,4.0,8.0,2.0,2.0,4.0,2.0,3.297899602143482,4.1074742516208005,3.328771790220189,0.8235152015250412
1002,2005.0,DEF02,44967.0,10.713684166398705,0.008935212573188522,9.386840661931917,88.11277761249842,7.129599181859388,50.83118449397005,7.0,30.0,9.0,25.0,46.0,4.0,36.0,3.0,1.0,4.0,2.0,2.0,16.0,1.0,4.0,2.0,4.0,3.099825731243212,4.628031341871583,3.127715779636396,0.6892775869114598
1002,2006.0,DEF02,46793.0,10.753488898069062,0.039804731670356475,9.969718222556123,99.39528143716764,7.452480906931506,55.53947166817865,14.0,51.0,16.0,43.0,53.0,6.0,40.0,6.0,2.0,5.0,2.0,5.0,20.0,2.0,5.0,5.0,5.0,3.1848209003980803,4.178335418607647,3.210179281692026,0.9697232558599689
1002,2007.0,DEF02,45857.0,10.73328313778719,-0.020205760281871932,10.0798618770946,101.60361546130508,9.031551457796104,81.56892173481893,2.0,24.0,4.0,18.0,35.0,1.0,21.0,2.0,5.0,3.0,1.0,7.0,12.0,5.0,3.0,5.0,3.0,3.794769520082397,4.704334998573287,3.803231625201805,0.8465704134916886
1002,2008.0,DEF02,48014.0,10.779247914030242,0.04596477624305173,9.81719771447464,96.37737096508609,7.644848270931622,58.44370508556621,4.0,19.0,4.0,14.0,32.0,6.0,17.0,7.0,2.0,3.0,2.0,2.0,12.0,2.0,3.0,2.0,3.0,3.107661898752692,5.182199719080495,3.022579478237028,0.8440240637820939
1002,2009.0,DEF02,47530.0,10.769116369608055,-0.010131544422186778,9.3866954280652,88.1100510592601,7.490977781415221,56.11474812165651,11.0,30.0,13.0,27.0,12.0,6.0,5.0,6.0,1.0,3.0,2.0,1.0,12.0,1.0,3.0,1.0,3.0,3.134300326951976,4.186952204339882,3.1747271204928955,0.875445953791805
1002,2010.0,DEF02,46774.0,10.753082771972014,-0.016033597636040398,7.83025470783945,61.31288878964188,8.993573390643526,80.88436233289129,55.0,27.0,59.0,21.0,34.0,37.0,24.0,39.0,6.0,2.0,2.0,5.0,8.0,5.0,2.0,4.0,2.0,3.893321814131397,5.583008726198936,3.851355246630783,0.8274613253599956
1002,2011.0,DEF02,47954.0,10.777997497061715,0.02491472508970105,9.492033005431104,90.09869057619343,9.430688970118688,88.93789445111827,9.0,13.0,11.0,11.0,22.0,1.0,16.0,2.0,4.0,8.0,6.0,4.0,32.0,3.0,8.0,3.0,8.0,4.469520838918809,5.849446909958221,4.27017736259676,1.206451053728973
1002,2012.0,DEF02,47362.0,10.765575498395966,-0.012421998665749001,8.912413455359225,79.43111359926816,7.982897768691463,63.726656785379134,23.0,16.0,25.0,11.0,31.0,23.0,14.0,24.0,2.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0469075453020857,4.307016396543717,3.055051051151749,0.7227997951556123
1002,2013.0,DEF02,48273.0,10.78462767712726,0.019052178731293168,8.9869681514409,80.76559655501306,7.8469726271126845,61.57497941065574,15.0,30.0,20.0,19.0,31.0,15.0,15.0,19.0,3.0,5.0,4.0,3.0,20.0,2.0,6.0,2.0,5.0,3.324988401318934,5.400140799161719,3.357466918603923,0.9273755119313025
1002,2014.0,DEF02,48536.0,10.790061069622134,0.0054333924948739565,10.66490862535638,113.74027598720092,8.13429237200077,66.16671239318991,9.0,40.0,10.0,32.0,66.0,3.0,42.0,3.0,3.0,3.0,1.0,5.0,12.0,2.0,3.0,3.0,3.0,3.491112606008913,4.9944087093793135,3.4932817303028294,0.8104208352693931
1002,2015.0,DEF02,47807.0,10.774927351272387,-0.015133718349746417,9.892443105177378,97.86043058917144,9.508181279167854,90.40551123751804,2.0,24.0,2.0,13.0,21.0,2.0,10.0,8.0,3.0,3.0,2.0,4.0,12.0,3.0,4.0,3.0,4.0,4.098353999641319,4.826623359758438,4.036232160880115,0.9464822984428304
1002,2016.0,DEF02,48350.0,10.78622150088144,0.011294149609053505,9.798200233568853,96.00472781710867,7.742919037556977,59.95279522216226,10.0,39.0,11.0,22.0,35.0,5.0,18.0,8.0,3.0,2.0,0.0,4.0,8.0,3.0,2.0,3.0,2.0,3.186386435208633,4.004208082903456,3.210567492444671,0.44697803971489375
1002,2017.0,DEF02,49559.0,10.810919157976958,0.0246976570955173,9.754774734955117,95.15563012971866,9.855402055296109,97.12894967153476,3.0,14.0,6.0,10.0,34.0,1.0,24.0,5.0,4.0,1.0,0.0,4.0,4.0,3.0,2.0,3.0,1.0,3.819923277246553,5.650212284359738,3.7983028365513047,0.7368726547249904
1002,2018.0,DEF02,50681.0,10.833306365889975,0.022387207913016738,10.270399832580113,105.48111272106156,5.782806052613604,33.44084584214453,12.0,49.0,13.0,34.0,45.0,8.0,31.0,12.0,0.0,5.0,3.0,1.0,20.0,0.0,5.0,0.0,5.0,2.6526633268869784,3.612365502148221,2.689090456752393,0.4131801869228314
1002,2019.0,DEF02,50882.0,10.837264505417558,0.003958139527583171,10.219301243223804,104.43411789975558,8.210177328067935,67.40701175832073,3.0,34.0,3.0,21.0,50.0,1.0,31.0,10.0,4.0,3.0,2.0,5.0,12.0,3.0,3.0,3.0,3.0,3.3374704585642028,4.4177549587290175,3.356111696732376,0.3433627670471872
1003,1990.0,DEF03,31488.0,10.35736179985198,,9.789419833123254,95.83274066914692,6.805439245770743,46.31400332787666,0.0,16.0,0.0,15.0,41.0,12.0,40.0,13.0,2.0,3.0,1.0,2.0,12.0,2.0,3.0,2.0,5.0,2.6174766329887484,3.927415539081028,2.6334871634490664,0.5278350210138734
1003,1991.0,DEF03,34867.0,10.459296102128597,0.10193430227661793,8.534763658026785,72.84219069837475,6.474167383891352,41.9148433146426,18.0,18.0,17.0,18.0,26.0,12.0,25.0,11.0,4.0,4.0,0.0,3.0,16.0,4.0,4.0,3.0,4.0,2.6642664131240137,4.760027403177448,2.6333866466382023,0.576870610413784
1003,1992.0,DEF03,36666.0,10.50960517412297,0.05030907199437351,9.564952166342191,91.48830994441418,6.006870894842313,36.08249794730369,8.0,39.0,7.0,38.0,29.0,6.0,27.0,3.0,2.0,8.0,4.0,2.0,32.0,2.0,8.0,1.0,7.0,2.5561152744009847,3.6559025861528496,2.56644756991087,0.4265505103224636
1003,1993.0,DEF03,35141.0,10.467123818934358,-0.04248135518861318,8.292257154211809,68.76152871157693,8.08188912373762,65.31693180838843,17.0,7.0,14.0,7.0,20.0,22.0,20.0,22.0,3.0,4.0,1.0,3.0,16.0,4.0,4.0,3.0,4.0,3.026924765444801,4.85490060044146,2.966248011540684,0.7328887297541776
1003,1994.0,DEF03,34860.0,10.459095319074011,-0.008028499860346372,9.516653693752056,90.56669752680465,8.613081988380234,74.18518133856,14.0,34.0,13.0,34.0,36.0,5.0,32.0,4.0,4.0,5.0,3.0,6.0,20.0,4.0,5.0,6.0,5.0,3.417889677928664,4.999011227026286,3.4695311023164663,0.6831287283783902
1003,1995.0,DEF03,35847.0,10.487015160517863,0.027919841443852178,8.884786275639783,78.93942716379705,5.827170403613343,33.95591491274728,24.0,37.0,24.0,37.0,49.0,25.0,41.0,24.0,2.0,7.0,2.0,3.0,28.0,2.0,7.0,3.0,7.0,2.458721689288328,3.483148547138167,2.462533480955918,0.7840720248288994
1003,1996.0,DEF03,37102.0,10.521426155498318,0.034410994980454745,7.08122669966059,50.14377157198601,4.878151047798472,23.796357645137327,41.0,18.0,41.0,18.0,15.0,38.0,15.0,36.0,0.0,7.0,3.0,0.0,28.0,0.0,7.0,0.0,7.0,2.258403262869663,3.507276417095984,2.186773001306032,0.6751398290363094
1003,1997.0,DEF03,37968.0,10.544498978675545,0.02307282317722681,8.875175657596296,78.76874295318984,5.986716959157161,35.840779949059964,19.0,35.0,19.0,34.0,39.0,21.0,33.0,19.0,3.0,8.0,1.0,3.0,32.0,3.0,8.0,2.0,8.0,2.602920417024853,4.561104845861512,2.666021083910038,0.7372103669351708
1003,1998.0,DEF03,37799.0,10.540037926231284,-0.004461052444261426,8.915788994089525,79.4912933871279,8.836317192477313,78.08050152607015,14.0,10.0,14.0,8.0,26.0,16.0,23.0,13.0,5.0,0.0,0.0,6.0,0.0,5.0,0.0,6.0,0.0,3.20156420017294,5.048897040313456,3.2106207831614992,0.45774231965905265
1003,1999.0,DEF03,38324.0,10.553831610770764,0.013793684539480822,9.655586674610714,93.23035403091998,6.210136893751457,38.565800239133,8.0,35.0,9.0,31.0,25.0,2.0,18.0,2.0,3.0,5.0,3.0,3.0,20.0,3.0,4.0,3.0,4.0,2.388514189904407,3.2854754718936507,2.354630460690892,0.3164261062117656
1003,2000.0,DEF03,39237.0,10.577375458157261,0.023543847386497063,9.725870603892396,94.59255900365824,6.429273538284767,41.33555823008873,4.0,12.0,5.0,11.0,19.0,9.0,14.0,8.0,1.0,2.0,2.0,1.0,8.0,1.0,2.0,1.0,2.0,2.312688323124016,3.734785164922648,2.360594270945216,0.6985712394802228
1003,2001.0,DEF03,39673.0,10.588426134546184,0.011050676388922653,8.811599312191296,77.64428243861012,7.769598456552315,60.36666017606012,15.0,26.0,15.0,23.0,31.0,14.0,28.0,12.0,4.0,2.0,0.0,4.0,8.0,4.0,1.0,4.0,1.0,2.6248643434298358,4.411579797162924,2.683946650152927,1.1496147454617505
1003,2002.0,DEF03,39729.0,10.589836678595073,0.001410544048889406,9.438296977180682,89.08144982945801,9.472666123003808,89.73140347790397,14.0,40.0,14.0,30.0,39.0,16.0,32.0,14.0,5.0,5.0,3.0,6.0,20.0,5.0,5.0,6.0,5.0,3.835087499191824,8.185311427175277,3.910858026250352,1.4031990958857996
1003,2003.0,DEF03,40715.0,10.614351853901232,0.0245151753061581,9.092214974978887,82.66837315123036,4.745158275880081,22.516527063153227,16.0,40.0,16.0,33.0,26.0,15.0,20.0,13.0,0.0,9.0,8.0,0.0,36.0,0.0,9.0,0.0,9.0,2.186708882894047,3.581400319079587,2.1712393773849463,0.45481956450758027
1003,2004.0,DEF03,39601.0,10.586609649448985,-0.027742204452247066,9.023766742380834,81.42836622089841,6.910497677415115,47.75497814955969,7.0,20.0,7.0,17.0,27.0,3.0,22.0,3.0,2.0,4.0,1.0,5.0,16.0,2.0,3.0,3.0,3.0,2.6176127565966345,4.002698100093714,2.61794245116528,0.6761472701076918
1003,2005.0,DEF03,40312.0,10.604404470360434,0.01779482091144935,9.202607441870056,84.68798372916216,5.39454819122988,29.10115018750157,8.0,26.0,11.0,23.0,38.0,5.0,31.0,6.0,2.0,5.0,3.0,1.0,20.0,2.0,5.0,1.0,4.0,2.157819276491952,3.4479204055329538,2.1912332506169783,0.47623069488141606
1003,2006.0,DEF03,40572.0,10.610833452495886,0.006428982135451733,9.88260547770474,97.66589102795976,6.56561652942669,43.10732041148098,17.0,42.0,20.0,36.0,47.0,6.0,39.0,6.0,2.0,4.0,1.0,2.0,16.0,2.0,4.0,3.0,4.0,2.701899806348432,4.097044169593185,2.7156913260922293,0.7371979238669865
1003,2007.0,DEF03,41470.0,10.632725553240427,0.021892100744540954,10.108928663906886,102.19043873195824,8.540907527681036,72.94710139639858,4.0,19.0,6.0,16.0,34.0,3.0,20.0,3.0,4.0,2.0,1.0,2.0,8.0,4.0,2.0,4.0,2.0,3.2108674916094118,4.781832054885335,3.215007741216587,0.5277243157164202
1003,2008.0,DEF03,41601.0,10.635879484421974,0.003153931181547165,9.87254980680872,97.46723968791888,6.16717739399951,38.034077009058585,4.0,22.0,4.0,17.0,33.0,8.0,23.0,11.0,2.0,4.0,1.0,3.0,16.0,2.0,3.0,2.0,4.0,2.3629032160917656,3.7338314907971335,2.34767894173975,0.7735609193334843
