Kreise_Code,EU_Code,year,gva,wrk,gvapw_GI,ln_gvapw_GI,ln_gvapw_GI.d1
7332,DEB3C,1995.0,249.6,9.08,27.48898678414097,3.313785443882071,
7332,DEB3C,1996.0,248.5,9.24,26.893939393939394,3.291900959883091,-0.02188448399898002
7332,DEB3C,1997.0,253.4,9.36,27.072649572649574,3.298523977397538,0.006623017514447049
7332,DEB3C,1998.0,261.4,9.49,27.544783983140146,3.315813188568285,0.017289211170747
7332,DEB3C,1999.0,265.4,9.76,27.192622950819672,3.302945721473106,-0.012867467095178942
7332,DEB3C,2000.0,274.5,10.12,27.124505928853758,3.3004375970902657,-0.0025081243828402044
7332,DEB3C,2001.0,296.0,10.02,29.540918163672657,3.3857763586673415,0.08533876157707576
7332,DEB3C,2002.0,299.8,10.1,29.683168316831686,3.390580161821284,0.004803803153942354
7332,DEB3C,2003.0,303.6,9.94,30.54325955734407,3.4191440248529923,0.028563863031708436
7332,DEB3C,2004.0,320.6,10.47,30.620821394460364,3.4216802152930073,0.0025361904400149626
7332,DEB3C,2005.0,318.4,10.51,30.294957183634633,3.4109812690813683,-0.010698946211638916
7332,DEB3C,2006.0,330.0,10.44,31.60919540229885,3.4534480720060334,0.04246680292466509
7332,DEB3C,2007.0,331.2,10.6,31.245283018867923,3.441868421393083,-0.01157965061295041
7332,DEB3C,2008.0,347.0,10.66,32.551594746716695,3.4828263612091606,0.04095793981607754
7332,DEB3C,2009.0,320.2,10.68,29.9812734082397,3.4005729670305658,-0.08225339417859479
7332,DEB3C,2010.0,312.9,10.68,29.29775280898876,3.3775108171427877,-0.023062149887778105
7332,DEB3C,2011.0,328.4,10.76,30.520446096654272,3.4183968228446346,0.04088600570184697
7332,DEB3C,2012.0,325.1,10.8,30.10185185185185,3.4045866931796858,-0.013810129664948878
7332,DEB3C,2013.0,353.2,10.87,32.493100275988965,3.481027767596687,0.07644107441700143
7332,DEB3C,2014.0,349.8,11.19,31.26005361930295,3.442341040260668,-0.03868672733601919
7332,DEB3C,2015.0,379.1,11.36,33.37147887323944,3.507701609229284,0.06536056896861586
7332,DEB3C,2016.0,392.5,11.61,33.80706287683032,3.520669741512663,0.01296813228337923
7332,DEB3C,2017.0,399.9,11.5,34.77391304347826,3.548867480483568,0.02819773897090494
7332,DEB3C,2018.0,427.0,11.78,36.24787775891341,3.590380835005184,0.04151335452161575
7332,DEB3C,2019.0,459.8,11.96,38.4448160535117,3.6492238638065952,0.05884302880141146
7333,DEB3D,1995.0,98.8,4.02,24.5771144278607,3.2018157021228926,
7333,DEB3D,1996.0,98.4,4.11,23.94160583941606,3.1756177755500645,-0.026197926572828045
7333,DEB3D,1997.0,100.3,4.21,23.824228028503562,3.1707030472735998,-0.004914728276464775
7333,DEB3D,1998.0,103.5,4.36,23.738532110091743,3.167099555344481,-0.003603491929118796
7333,DEB3D,1999.0,105.1,4.56,23.04824561403509,3.137589654356611,-0.029509900987870097
7333,DEB3D,2000.0,108.6,4.68,23.205128205128204,3.14437329757028,0.006783643213668977
7333,DEB3D,2001.0,118.7,4.67,25.41755888650964,3.2354402299348166,0.09106693236453678
7333,DEB3D,2002.0,126.0,4.74,26.582278481012658,3.280244771244493,0.04480454130967626
7333,DEB3D,2003.0,125.9,4.64,27.133620689655174,3.300773574812138,0.02052880356764497
7333,DEB3D,2004.0,128.7,4.69,27.441364605543704,3.312051532143893,0.011277957331754962
7333,DEB3D,2005.0,126.3,4.65,27.161290322580644,3.3017928097571803,-0.010258722386712549
7333,DEB3D,2006.0,137.0,4.81,28.482328482328484,3.3492838417104553,0.04749103195327509
7333,DEB3D,2007.0,135.3,4.86,27.839506172839506,3.32645609726434,-0.02282774444611535
7333,DEB3D,2008.0,142.3,4.86,29.279835390946502,3.3768990671834045,0.050442969919064495
7333,DEB3D,2009.0,132.1,4.86,27.181069958847733,3.302520773615877,-0.07437829356752745
7333,DEB3D,2010.0,131.7,4.68,28.14102564102564,3.33722849881968,0.03470772520380283
7333,DEB3D,2011.0,136.0,4.64,29.31034482758621,3.3779405194978884,0.04071202067820856
7333,DEB3D,2012.0,140.3,4.67,30.04282655246253,3.4026239154276094,0.02468339592972102
7333,DEB3D,2013.0,140.4,4.76,29.495798319327733,3.384247823348382,-0.018376092079227302
7333,DEB3D,2014.0,154.9,4.94,31.356275303643724,3.4454144162229916,0.06116659287460946
7333,DEB3D,2015.0,158.4,4.96,31.935483870967744,3.4637177386434894,0.018303322420497814
7333,DEB3D,2016.0,156.1,4.89,31.92229038854806,3.463304524034606,-0.00041321460888354977
7333,DEB3D,2017.0,161.3,4.88,33.05327868852459,3.4981207652661075,0.03481624123150162
7333,DEB3D,2018.0,174.6,5.06,34.505928853754945,3.541131160106128,0.04301039484002045
7333,DEB3D,2019.0,174.8,5.03,34.75149105367793,3.5482224791097874,0.0070913190036594465
7334,DEB3E,1995.0,202.0,7.86,25.69974554707379,3.2464810909600894,
7334,DEB3E,1996.0,201.1,7.59,26.49538866930171,3.2769707053710677,0.030489614410978305
7334,DEB3E,1997.0,205.0,7.77,26.383526383526384,3.272739814758852,-0.00423089061221571
7334,DEB3E,1998.0,211.5,8.09,26.143386897404202,3.2635962674159322,-0.009143547342919778
7334,DEB3E,1999.0,214.8,8.4,25.571428571428573,3.241475656785442,-0.02212061063049031
7334,DEB3E,2000.0,222.1,8.61,25.795586527293846,3.2502034124607424,0.008727755675300486
7334,DEB3E,2001.0,234.4,8.46,27.706855791962173,3.3216798840847255,0.07147647162398307
7334,DEB3E,2002.0,243.6,8.53,28.55803048065651,3.351938174332154,0.030258290247428654
7334,DEB3E,2003.0,252.2,8.56,29.462616822429904,3.3831222333771684,0.031184059045014312
7334,DEB3E,2004.0,258.6,8.64,29.930555555555557,3.398879883521793,0.015757650144624602
7334,DEB3E,2005.0,247.3,8.29,29.831121833534382,3.395552205380167,-0.003327678141626045
7334,DEB3E,2006.0,269.9,8.41,32.09274673008323,3.468630046039102,0.07307784065893497
7334,DEB3E,2007.0,268.9,8.66,31.050808314087757,3.4356248407004752,-0.03300520533862672
7334,DEB3E,2008.0,293.3,9.02,32.51662971175167,3.481751641908873,0.04612680120839796
7334,DEB3E,2009.0,267.9,9.05,29.602209944751376,3.387849018838728,-0.09390262307014519
7334,DEB3E,2010.0,284.5,9.06,31.40176600441501,3.4468641335114976,0.05901511467276954
7334,DEB3E,2011.0,297.9,9.27,32.13592233009709,3.469974480141473,0.023110346629975353
7334,DEB3E,2012.0,323.9,9.73,33.28879753340185,3.50522092997937,0.03524644983789704
7334,DEB3E,2013.0,340.3,10.17,33.46116027531957,3.5103853714463917,0.005164441467021774
7334,DEB3E,2014.0,347.8,10.01,34.74525474525475,3.5480430085930537,0.037657637146661926
7334,DEB3E,2015.0,358.3,10.16,35.26574803149607,3.5629121821605723,0.014869173567518601
7334,DEB3E,2016.0,380.0,10.38,36.60886319845857,3.6002903749826887,0.03737819282211641
7334,DEB3E,2017.0,408.2,10.57,38.618732261116364,3.653737450493598,0.053447075510909325
7334,DEB3E,2018.0,448.4,11.18,40.10733452593917,3.6915592234710517,0.037821772977453705
7334,DEB3E,2019.0,489.4,11.94,40.98827470686767,3.713286043044115,0.021726819573063327
7335,DEB3F,1995.0,159.8,6.02,26.544850498338874,3.2788357740114447,
7335,DEB3F,1996.0,159.1,6.12,25.99673202614379,3.2579708388195066,-0.020864935191938105
7335,DEB3F,1997.0,162.2,6.32,25.664556962025312,3.2451109335225463,-0.012859905296960239
7335,DEB3F,1998.0,167.3,6.57,25.464231354642315,3.2372747754962594,-0.007836158026286899
7335,DEB3F,1999.0,169.9,6.81,24.94860499265786,3.2168179085164654,-0.020456866979793986
7335,DEB3F,2000.0,175.7,6.98,25.171919770773634,3.2257290784187704,0.008911169902305005
7335,DEB3F,2001.0,193.3,7.05,27.418439716312058,3.311215769390108,0.08548669097133743
7335,DEB3F,2002.0,205.8,7.23,28.46473029045643,3.348665787229276,0.037450017839168126
7335,DEB3F,2003.0,207.2,7.14,29.019607843137255,3.367971734033835,0.019305946804558882
7335,DEB3F,2004.0,213.6,7.23,29.54356846473029,3.3858660709153665,0.017894336881531636
7335,DEB3F,2005.0,208.5,7.15,29.16083916083916,3.37282668453294,-0.013039386382426521
7335,DEB3F,2006.0,224.3,7.3,30.726027397260275,3.425110093371817,0.052283408838877055
7335,DEB3F,2007.0,222.4,7.43,29.93270524899058,3.3989517036467594,-0.026158389725057685
7335,DEB3F,2008.0,236.8,7.47,31.70013386880857,3.456320903865125,0.057369200218365446
7335,DEB3F,2009.0,225.5,7.69,29.323797139141742,3.3783993754251807,-0.07792152843994415
7335,DEB3F,2010.0,244.9,7.73,31.68175937904269,3.4557411013587913,0.07734172593361066
7335,DEB3F,2011.0,245.7,7.59,32.37154150197628,3.477279688119595,0.021538586760803557
7335,DEB3F,2012.0,232.4,7.65,30.37908496732026,3.4137543771393117,-0.06352531098028313
7335,DEB3F,2013.0,236.5,7.68,30.794270833333336,3.4273286607724067,0.013574283633094986
7335,DEB3F,2014.0,247.7,7.93,31.235813366960908,3.4415653008485574,0.014236640076150664
7335,DEB3F,2015.0,259.9,7.83,33.192848020434226,3.5023344316447327,0.0607691307961753
7335,DEB3F,2016.0,261.5,7.98,32.769423558897245,3.48949587204326,-0.012838559601472621
7335,DEB3F,2017.0,273.5,8.01,34.14481897627965,3.530610860781768,0.04111498873850783
7335,DEB3F,2018.0,282.9,7.99,35.406758448060074,3.566902718529338,0.036291857747570155
7335,DEB3F,2019.0,295.8,8.04,36.791044776119406,3.6052544670858246,0.0383517485564866
7336,DEB3G,1995.0,75.2,3.92,19.183673469387756,2.954059577153423,
7336,DEB3G,1996.0,74.9,3.94,19.01015228426396,2.9449731672133312,-0.009086409940091578
7336,DEB3G,1997.0,76.3,4.11,18.564476885644766,2.9212499097822677,-0.023723257431063516
7336,DEB3G,1998.0,78.7,4.17,18.872901678657076,2.9377271196126475,0.016477209830379813
7336,DEB3G,1999.0,80.0,4.24,18.867924528301884,2.9374633654300153,-0.0002637541826322476
7336,DEB3G,2000.0,82.7,4.35,19.011494252873565,2.945043756929053,0.007580391499037553
