Kreise_Code,EU_Code,year,gva,wrk,gvapw_BE,ln_gvapw_BE,ln_gvapw_BE.d1
5570,DEA38,2019.0,2707.9,36.31,74.57725144588268,4.3118355203022185,0.017508046833685675
5711,DEA41,1995.0,1973.9,37.93,52.040601107302926,3.952024204448134,
5711,DEA41,1996.0,1929.7,36.55,52.79616963064296,3.966438643206523,0.014414438758388659
5711,DEA41,1997.0,1989.5,36.01,55.24854207164677,4.0118419522062,0.04540330899967682
5711,DEA41,1998.0,2011.2,36.39,55.2679307502061,4.012192826211915,0.00035087400571498506
5711,DEA41,1999.0,2027.3,36.22,55.9718387631143,4.024848685018881,0.012655858806966513
5711,DEA41,2000.0,2143.6,36.84,58.18675352877307,4.063657726233589,0.03880904121470774
5711,DEA41,2001.0,2261.6,36.69,61.64077405287544,4.12132356801219,0.05766584177860068
5711,DEA41,2002.0,2112.3,35.89,58.85483421565896,4.075073975033681,-0.0462495929785085
5711,DEA41,2003.0,2096.1,34.54,60.686160972785174,4.1057156815079825,0.030641706474301422
5711,DEA41,2004.0,2137.2,33.86,63.118724158298875,4.145017463378627,0.0393017818706447
5711,DEA41,2005.0,2240.8,32.85,68.2130898021309,4.2226364790152795,0.0776190156366523
5711,DEA41,2006.0,2216.3,31.47,70.42580235144582,4.254559706689313,0.03192322767403333
5711,DEA41,2007.0,2211.5,30.15,73.34991708126037,4.295241374135187,0.04068166744587387
5711,DEA41,2008.0,2338.2,30.64,76.31201044386422,4.334830336700328,0.03958896256514155
5711,DEA41,2009.0,1940.7,29.52,65.7418699186992,4.185736011985778,-0.1490943247145502
5711,DEA41,2010.0,2153.1,28.12,76.5682788051209,4.338182876161672,0.15244686417589381
5711,DEA41,2011.0,2279.1,28.36,80.36318758815233,4.386556205513359,0.04837332935168703
5711,DEA41,2012.0,2306.3,28.77,80.16336461591936,4.384066610207171,-0.002489595306188086
5711,DEA41,2013.0,2292.7,29.5,77.7186440677966,4.353095177982842,-0.03097143222432841
5711,DEA41,2014.0,2372.6,29.79,79.64417589795234,4.377568912501812,0.024473734518969614
5711,DEA41,2015.0,2334.7,29.02,80.45141281874568,4.38765343473535,0.010084522233538173
5711,DEA41,2016.0,2427.1,29.09,83.4341698178068,4.424057935502104,0.0364045007667535
5711,DEA41,2017.0,2515.0,29.33,85.74838049778384,4.45141719954448,0.027359264042376097
5711,DEA41,2018.0,2530.3,29.98,84.39959973315544,4.435562659092508,-0.0158545404519721
5711,DEA41,2019.0,2547.3,31.02,82.11798839458415,4.408157095925035,-0.027405563167472557
5754,DEA42,1995.0,3988.5,63.96,62.359287054409,4.13291261138543,
5754,DEA42,1996.0,3899.2,62.75,62.13864541832669,4.129368104859048,-0.003544506526382385
5754,DEA42,1997.0,4019.9,62.84,63.970401018459576,4.158420492294352,0.02905238743530436
5754,DEA42,1998.0,4063.8,63.59,63.9062745714735,4.157417550169597,-0.0010029421247557124
5754,DEA42,1999.0,4096.3,64.05,63.95472287275567,4.1581753778820225,0.0007578277124258292
5754,DEA42,2000.0,4331.3,65.68,65.94549330085262,4.188828541738953,0.030653163856930732
5754,DEA42,2001.0,4355.8,65.1,66.90937019969279,4.203339020101985,0.014510478363031432
5754,DEA42,2002.0,4179.0,63.51,65.80066131317903,4.186629888633032,-0.016709131468952698
5754,DEA42,2003.0,4012.5,61.68,65.0535019455253,4.175210038183197,-0.011419850449835067
5754,DEA42,2004.0,4260.0,60.67,70.21592220207681,4.2515750973092095,0.07636505912601255
5754,DEA42,2005.0,4432.6,60.22,73.60677515775491,4.298737075271986,0.04716197796277655
5754,DEA42,2006.0,4907.3,59.99,81.80196699449908,4.404301289707111,0.10556421443512498
5754,DEA42,2007.0,5249.6,61.67,85.12404734879196,4.444109573203436,0.039808283496324925
5754,DEA42,2008.0,5091.1,63.33,80.39002052739619,4.386890045687469,-0.05721952751596682
5754,DEA42,2009.0,4510.4,62.58,72.07414509427932,4.277695382119112,-0.10919466356835716
5754,DEA42,2010.0,5255.0,61.45,85.5166802278275,4.448711447299008,0.17101606517989598
5754,DEA42,2011.0,5657.5,62.83,90.04456469839249,4.500304711092837,0.051593263793829
5754,DEA42,2012.0,5641.7,64.39,87.61764249107004,4.4729823759643175,-0.027322335128519448
5754,DEA42,2013.0,5930.2,65.96,89.90600363856883,4.498764720544453,0.025782344580135508
5754,DEA42,2014.0,6157.6,66.2,93.01510574018127,4.532761907277145,0.03399718673269181
5754,DEA42,2015.0,5951.0,67.72,87.87655050206733,4.475932994379917,-0.05682891289722747
5754,DEA42,2016.0,6307.6,70.65,89.27954706298655,4.491772425400895,0.015839431020977734
5754,DEA42,2017.0,6057.8,75.09,80.67385803702224,4.390414582734305,-0.10135784266658998
