Kreise_Code,EU_Code,year,gva,wrk,gvapw_A,ln_gvapw_A,ln_gvapw_A.d1
9173,DE216,2013.0,51.5,1.88,27.393617021276597,3.3103100308278326,-0.03644019034974999
9173,DE216,2014.0,66.1,1.82,36.318681318681314,3.5923322457689366,0.282022214941104
9173,DE216,2015.0,66.5,1.79,37.150837988826815,3.6149863278091448,0.022654082040208134
9173,DE216,2016.0,64.7,1.73,37.39884393063584,3.6216397929971675,0.006653465188022789
9173,DE216,2017.0,65.2,1.7,38.352941176470594,3.646831217870437,0.02519142487326942
9173,DE216,2018.0,59.8,1.65,36.24242424242424,3.590230373044097,-0.05660084482633998
9173,DE216,2019.0,51.2,1.71,29.94152046783626,3.3992461615308938,-0.19098421151320322
9174,DE217,1995.0,52.2,2.06,25.33980582524272,3.2323765120871033,
9174,DE217,1996.0,55.1,1.94,28.402061855670105,3.346461743083632,0.11408523099652879
9174,DE217,1997.0,55.5,1.93,28.756476683937827,3.3588630178355947,0.012401274751962621
9174,DE217,1998.0,55.3,1.92,28.802083333333332,3.360447722488599,0.0015847046530041986
9174,DE217,1999.0,60.6,1.92,31.562500000000004,3.4519697070355786,0.09152198454697968
9174,DE217,2000.0,59.7,1.9,31.42105263157895,3.4474781342261616,-0.004491572809417033
9174,DE217,2001.0,53.7,1.83,29.34426229508197,3.3790970346614895,-0.06838109956467209
9174,DE217,2002.0,51.6,1.79,28.8268156424581,3.3613060526348533,-0.017790982026636204
9174,DE217,2003.0,48.1,1.71,28.128654970760234,3.336788806597147,-0.02451724603770611
9174,DE217,2004.0,61.7,1.7,36.294117647058826,3.591655679849172,0.25486687325202473
9174,DE217,2005.0,42.1,1.67,25.209580838323355,3.227224114259672,-0.36443156558949985
9174,DE217,2006.0,45.8,1.62,28.2716049382716,3.3418579418758463,0.11463382761617424
9174,DE217,2007.0,47.6,1.6,29.75,3.392829131991639,0.05097119011579254
9174,DE217,2008.0,50.5,1.57,32.1656050955414,3.4708977169210975,0.07806858492945867
9174,DE217,2009.0,45.2,1.55,29.161290322580648,3.3728421559070303,-0.0980555610140672
9174,DE217,2010.0,42.2,1.53,27.58169934640523,3.317152485637622,-0.055689670269408076
9174,DE217,2011.0,47.8,1.49,32.080536912751676,3.4682495195400422,0.15109703390242002
9174,DE217,2012.0,42.8,1.48,28.918918918918916,3.3644960148117273,-0.1037535047283149
9174,DE217,2013.0,40.7,1.44,28.263888888888893,3.34158497886064,-0.022911035951087122
9174,DE217,2014.0,49.9,1.42,35.140845070422536,3.559364131144304,0.21777915228366362
9174,DE217,2015.0,40.0,1.43,27.972027972027973,3.3312050098421206,-0.2281591213021832
9174,DE217,2016.0,47.6,1.46,32.6027397260274,3.4843963255171295,0.15319131567500888
9174,DE217,2017.0,53.2,1.43,37.20279720279721,3.616383952075783,0.13198762655865348
9174,DE217,2018.0,46.0,1.39,33.093525179856115,3.4993376493464945,-0.11704630272928851
9174,DE217,2019.0,50.7,1.4,36.214285714285715,3.5894536739759246,0.09011602462943014
9175,DE218,1995.0,44.8,2.21,20.271493212669682,3.009215623891278,
9175,DE218,1996.0,47.2,2.05,23.02439024390244,3.136554099441193,0.12733847554991495
9175,DE218,1997.0,47.6,2.02,23.564356435643564,3.159735249824261,0.023181150383067894
9175,DE218,1998.0,47.5,2.06,23.058252427184467,3.138023728239106,-0.02171152158515488
9175,DE218,1999.0,52.0,2.05,25.365853658536587,3.2334039254311104,0.09538019719200452
9175,DE218,2000.0,51.3,2.1,24.428571428571427,3.1957534074473464,-0.037650517983764065
9175,DE218,2001.0,45.9,2.01,22.83582089552239,3.128330394995515,-0.06742301245183135
9175,DE218,2002.0,47.4,1.95,24.307692307692307,3.1907928561253756,0.062462461129860536
9175,DE218,2003.0,47.9,1.9,25.210526315789473,3.2272616182444747,0.03646876211909911
9175,DE218,2004.0,57.4,1.91,30.05235602094241,3.4029410612669824,0.1756794430225077
9175,DE218,2005.0,42.5,1.91,22.25130890052356,3.1024008338718327,-0.30054022739514963
9175,DE218,2006.0,49.5,1.91,25.916230366492147,3.2548694275161063,0.15246859364427356
9175,DE218,2007.0,48.0,1.87,25.668449197860962,3.2452625800413957,-0.009606847474710634
9175,DE218,2008.0,51.6,1.84,28.043478260869566,3.3337561008666228,0.0884935208252271
9175,DE218,2009.0,46.9,1.84,25.489130434782606,3.238252103831339,-0.09550399703528356
9175,DE218,2010.0,41.9,1.85,22.648648648648646,3.1201001878378585,-0.11815191599348074
9175,DE218,2011.0,49.3,1.8,27.388888888888886,3.3101374161465253,0.19003722830866687
9175,DE218,2012.0,46.0,1.76,26.136363636363637,3.2633275874390346,-0.04680982870749073
9175,DE218,2013.0,43.0,1.71,25.146198830409357,3.224706745178994,-0.0386208422600407
9175,DE218,2014.0,51.4,1.64,31.34146341463415,3.4449419306250126,0.22023518544601872
9175,DE218,2015.0,44.3,1.71,25.90643274853801,3.2544913065365213,-0.19045062408849134
9175,DE218,2016.0,46.0,1.68,27.380952380952383,3.3098476030739277,0.05535629653740637
9175,DE218,2017.0,50.9,1.62,31.41975308641975,3.4474367743121843,0.13758917123825665
9175,DE218,2018.0,44.1,1.61,27.391304347826086,3.310225603456429,-0.13721117085575552
9175,DE218,2019.0,44.9,1.64,27.378048780487806,3.3097415529121017,-0.00048405054432709704
9176,DE219,1995.0,72.9,2.45,29.755102040816325,3.3930006144579767,
9176,DE219,1996.0,76.8,2.3,33.391304347826086,3.5082955172185226,0.11529490276054588
9176,DE219,1997.0,77.5,2.27,34.140969162995596,3.5304981048659902,0.02220258764746763
9176,DE219,1998.0,77.2,2.26,34.15929203539824,3.531034643746536,0.0005365388805458338
9176,DE219,1999.0,84.5,2.3,36.73913043478261,3.6038424114280243,0.07280776768148822
9176,DE219,2000.0,83.4,2.33,35.79399141630901,3.5777800417870917,-0.02606236964093256
9176,DE219,2001.0,76.0,2.2,34.54545454545454,3.542275979922061,-0.035504061865030856
9176,DE219,2002.0,75.2,2.11,35.639810426540286,3.5734632834678193,0.031187303545758382
9176,DE219,2003.0,70.4,2.0,35.2,3.5610460826040513,-0.012417200863767963
9176,DE219,2004.0,90.2,1.98,45.55555555555556,3.8189325823621343,0.257886499758083
9176,DE219,2005.0,63.4,1.96,32.3469387755102,3.4765193882007543,-0.34241319416137994
9176,DE219,2006.0,66.9,1.87,35.775401069518715,3.5772605362676875,0.10074114806693313
9176,DE219,2007.0,67.1,1.85,36.27027027027027,3.5909984048874026,0.013737868619715154
9176,DE219,2008.0,71.5,1.83,39.07103825136612,3.6653814828466325,0.07438307795922983
9176,DE219,2009.0,66.2,1.82,36.37362637362637,3.5938439618542586,-0.07153752099237387
9176,DE219,2010.0,57.0,1.79,31.843575418994412,3.4608356479818867,-0.13300831387237189
9176,DE219,2011.0,67.9,1.77,38.36158192090396,3.647056487978913,0.1862208399970262
9176,DE219,2012.0,66.3,1.73,38.323699421965316,3.646068488682129,-0.000987999296783837
9176,DE219,2013.0,62.8,1.67,37.604790419161674,3.627131447045489,-0.018937041636640117
9176,DE219,2014.0,79.3,1.65,48.06060606060606,3.8724628407283133,0.2453313936828243
9176,DE219,2015.0,72.6,1.61,45.09316770186335,3.8087307428343786,-0.06373209789393464
9176,DE219,2016.0,75.0,1.58,47.46835443037975,3.860063266497435,0.051332523663056406
9176,DE219,2017.0,80.2,1.58,50.75949367088607,3.9270986678335933,0.06703540133615826
9176,DE219,2018.0,70.8,1.57,45.095541401273884,3.8087833813394574,-0.11831528649413592
9176,DE219,2019.0,68.0,1.49,45.63758389261745,3.820731585218739,0.011948203879281749
9177,DE21A,1995.0,85.5,3.97,21.53652392947103,3.0697502812436155,
9177,DE21A,1996.0,90.1,3.66,24.61748633879781,3.2034570172010173,0.1337067359574018
9177,DE21A,1997.0,90.9,3.62,25.11049723756906,3.2232859753457532,0.019828958144735953
9177,DE21A,1998.0,90.6,3.59,25.23676880222841,3.228302010548746,0.0050160352029928745
9177,DE21A,1999.0,99.2,3.62,27.403314917127073,3.3106639884531472,0.08236197790440114
9177,DE21A,2000.0,97.8,3.61,27.09141274238227,3.299216804695982,-0.011447183757165025
9177,DE21A,2001.0,88.3,3.47,25.446685878962533,3.2365855136511463,-0.06263129104483589
9177,DE21A,2002.0,85.8,3.33,25.765765765765764,3.249046702501564,0.012461188850417582
9177,DE21A,2003.0,89.3,3.18,28.081761006289305,3.3351202910903677,0.08607358858880376
9177,DE21A,2004.0,112.9,3.17,35.615141955835966,3.5727708832664273,0.23765059217605966
9177,DE21A,2005.0,77.4,3.17,24.41640378548896,3.195255192706492,-0.3775156905599353
