Kreise_Code,EU_Code,year,gva,wrk,gvapw_F,ln_gvapw_F,ln_gvapw_F.d1
3456,DE94B,1995.0,374.4,5.34,70.11235955056179,4.250099091631333,
3456,DE94B,1996.0,353.4,5.28,66.93181818181817,4.203674462167426,-0.046424629463907685
3456,DE94B,1997.0,346.1,5.05,68.53465346534654,4.2273395073540305,0.02366504518660495
3456,DE94B,1998.0,334.7,5.09,65.75638506876228,4.18595677765485,-0.041382729699180665
3456,DE94B,1999.0,332.1,5.15,64.48543689320388,4.166439413707056,-0.01951736394779413
3456,DE94B,2000.0,324.3,5.06,64.0909090909091,4.160302530013898,-0.006136883693157458
3456,DE94B,2001.0,309.9,4.79,64.69728601252609,4.169719253370879,0.009416723356980405
3456,DE94B,2002.0,302.4,4.78,63.263598326359826,4.147310097802014,-0.022409155568865025
3456,DE94B,2003.0,284.0,4.54,62.55506607929515,4.13604722610795,-0.011262871694063925
3456,DE94B,2004.0,282.3,4.37,64.59954233409611,4.168207326151945,0.0321601000439955
3456,DE94B,2005.0,298.8,4.26,70.14084507042254,4.250505292977383,0.082297966825438
3456,DE94B,2006.0,329.0,4.56,72.14912280701755,4.278735127239077,0.02822983426169401
3456,DE94B,2007.0,360.7,4.77,75.61844863731656,4.325700283009243,0.0469651557701658
3456,DE94B,2008.0,314.5,4.74,66.35021097046413,4.1949469404335105,-0.13075334257573257
3456,DE94B,2009.0,315.3,4.89,64.47852760736197,4.166332263064235,-0.028614677369275476
3456,DE94B,2010.0,340.9,5.04,67.63888888888889,4.21418309706058,0.047850833996345266
3456,DE94B,2011.0,381.8,5.15,74.13592233009709,4.305900196616003,0.09171709955542262
3456,DE94B,2012.0,401.4,5.34,75.1685393258427,4.319732783390134,0.01383258677413135
3456,DE94B,2013.0,412.3,5.47,75.3747714808044,4.322472623278965,0.002739839888830531
3456,DE94B,2014.0,419.4,5.51,76.11615245009074,4.332260495302997,0.009787872024031863
3456,DE94B,2015.0,380.1,5.46,69.61538461538461,4.242985586238389,-0.08927490906460722
3456,DE94B,2016.0,413.3,5.45,75.8348623853211,4.328558112842534,0.08557252660414427
