,1991-2005_hotdays,1991-2005_colddays,2006-2020_hotdays,2006-2020_colddays,1991-2000_hotdays,1991-2000_colddays,2001-2010_hotdays,2001-2010_colddays,2011-2020_hotdays,2011-2020_colddays
15083,10.111334185070268,10.202591713816389,10.184340208067166,10.184340208067166,10.073911853271284,10.320284697508896,10.076670317634173,10.46002190580504,10.101286613742129,10.402408978921434
15084,10.07483117357182,10.184340208067166,10.153958944281525,10.153958944281525,10.019162332329593,10.429783739392281,10.140534582529623,10.305869385505648,10.046537092800438,10.429783739392281
15087,10.13437849944009,10.13437849944009,10.147837196568718,10.239094725314839,10.164212910532276,10.249150622876558,10.049288061336254,10.350492880613363,10.073911853271284,10.347659457979743
15088,10.07483117357182,10.166088702317941,10.07865374062557,10.279860984086337,10.019162332329593,10.320284697508896,10.021905805038335,10.323110624315444,10.052183466080747,10.299368305410601
15089,10.166088702317941,10.184340208067166,10.220843219565614,10.220843219565614,10.073911853271284,10.375034218450589,10.18619934282585,10.377875136911282,10.073911853271284,10.347659457979743
15090,10.398344542162441,10.398344542162441,10.311176578898914,10.384827840176763,10.403832991101986,10.335386721423683,10.144404332129964,10.324909747292418,10.346740638002775,10.513176144244106
15091,10.098612125639153,10.189919649379108,10.207073483599046,10.262048744731537,10.073911853271284,10.402408978921434,10.104625550660794,10.32488986784141,10.361842105263158,10.444078947368421
16062,10.154937464999067,10.304274780660817,10.234899328859061,10.282837967401726,10.106681639528356,10.47164514317799,10.107705053852527,10.356255178127588,10.187553282182439,10.358056265984654
16064,10.392609699769054,10.700538876058507,10.111334185070268,10.202591713816389,10.513796384395814,10.846812559467175,10.052471692902513,10.466721900027617,10.128661374212976,10.429783739392281
16068,10.376833116762576,10.321143493595693,10.294386542329493,10.330956299140611,10.165683796686324,10.474585790508284,10.131434830230011,10.43263964950712,10.183914356299754,10.513313203403788
16070,10.295728368017524,10.423512230741146,10.2081811541271,10.317750182615047,10.156036134683822,10.539282781275665,10.380717611613257,10.654615173924952,10.164383561643836,10.356164383561644
16074,10.101786057230651,10.178605723065104,10.245523352409082,10.319364962156175,10.286382232612507,10.257159555815313,10.181818181818182,10.20979020979021,10.339123242349048,10.394265232974911
16077,10.07483117357182,10.184340208067166,10.129585690819493,10.184340208067166,10.073911853271284,10.402408978921434,10.049288061336254,10.377875136911282,10.101286613742129,10.347659457979743
2000,10.111334185070268,10.147837196568718,10.147837196568718,10.220843219565614,10.046537092800438,10.402408978921434,10.076670317634173,10.405257393209201,10.046537092800438,10.347659457979743
3102,10.093082679321045,10.166088702317941,10.111334185070268,10.202591713816389,10.101286613742129,10.375034218450589,10.104052573932092,10.323110624315444,10.101286613742129,10.347659457979743
3103,10.366855265559408,10.5858733345501,10.20106991330013,10.311750599520384,10.265535176567205,10.840405146454968,10.405257393209201,10.733844468784227,10.208623087621698,10.570236439499304
3151,10.166088702317941,10.275597736813287,10.147837196568718,10.257346231064062,10.073911853271284,10.457158499863127,10.021905805038335,10.46002190580504,10.046537092800438,10.402408978921434
3152,10.129585690819493,10.184340208067166,10.225812373783734,10.244171103359648,10.101286613742129,10.457158499863127,10.18619934282585,10.350492880613363,10.245788456227562,10.383871858602596
3154,10.312100748311735,10.45811279430553,10.21396851029471,10.456197012515139,10.402408978921434,10.703531344100739,10.271132376395535,10.430622009569378,10.0960219478738,10.37037037037037
3241,10.093082679321045,10.293849242562512,10.093082679321045,10.166088702317941,10.101286613742129,10.375034218450589,10.021905805038335,10.377875136911282,10.101286613742129,10.347659457979743
3251,10.129585690819493,10.220843219565614,10.129585690819493,10.147837196568718,10.073911853271284,10.457158499863127,10.049288061336254,10.405257393209201,10.019162332329593,10.402408978921434
